No,Chinese,Pinyin,English
201,课文,kè wén,text
202,口,kǒu,mouth
203,块,kuài,block
204,快,kuài,fast
205,来,lái,come
206,来到,lái dào,"come; arrive"
207,老（形）,lǎo,"old; aged"
208,老人,lǎo rén,"old people; the aged"
209,老师,lǎoshī,Teacher
210,了,le,past tense marker
211,累,lèi,tired
212,冷,lěng,cold
213,里,lǐ,in
214,里边,lǐ biān,inside
215,两（数）,liǎng,two
216,零｜〇,líng ｜ líng,zero
217,六,liù,Six
218,楼,lóu,floor
219,楼上,lóu shàng,upstairs
220,楼下,lóu xià,downstairs
221,路,lù,road
222,路口,lù kǒu,"intersection; crossing"
223,路上,lù shàng,"on the road"
224,妈妈｜妈,mā ma ｜ mā,"mom; mother"
225,马路,mǎ lù,"road; street"
226,马上,mǎshàng,Right off
227,吗,ma,auxiliary word
228,买,mǎi,buy
229,慢,màn,slow
230,忙,máng,busy
231,毛（量）,máo,"a fractional unit of money in China (measure word)"
232,没,méi,no
233,没关系,méiguānxi,No problem
234,没什么,méi shén me,It’s nothing
235,没事儿,méi shìr,It’s okay
236,没有,méi yǒu,"have not; no"
237,妹妹｜妹,mèi mei ｜ mèi,"younger sister"
238,门,mén,door
239,门口,mén kǒu,doorway
240,门票,mén piào,tickets
241,们（朋友们）,men （ péng yǒu men ）,"plural marker for pronouns and a few animate nouns (friends)"
242,米饭,mǐfàn,Steamed Rice
243,面包,miànbāo,Bread
244,面条儿,miàn tiáor,noodles
245,名字,míngzi,Name
246,明白,míngbai,clear
247,明年,míng nián,next year
248,明天,míngtiān,Tomorrow
249,拿,ná,take
250,哪,nǎ,which
251,哪里,nǎ lǐ,where
252,哪儿,nǎr,where
253,哪些,nǎ xiē,which
254,那（代）,nà,that
255,那边,nà biān,there
256,那里,nà lǐ,there
257,那儿,nàr,there
258,那些,nà xiē,those
259,奶,nǎi,milk
260,奶奶,nǎinai,grandma
261,男,nán,Man
262,男孩儿,nán háir,boy
263,男朋友,nán péng yǒu,boyfriend
264,男人,nán ren,man
265,男生,nán shēng,boy
266,南,nán,south
267,南边,nán biān,"south; south side"
268,难,nán,"hard, difficult"
269,呢,ne,auxiliary word
270,能,néng,can
271,你,nǐ,you
272,你们,nǐ men,you
273,年,nián,year
274,您,nín,you
275,牛奶,niúnǎi,milk
276,女,nǚ,woman
277,女儿,nǚ’ér,daughter
278,女孩儿,nǚ háir,girl
279,女朋友,nǚ péng yǒu,girlfriend
280,女人,nǚ ren,woman
281,女生,nǚ shēng,girl
282,旁边,pángbiān,Side
283,跑,pǎo,run
284,朋友,péngyou,Friend
285,票,piào,ticket
286,七,qī,Seven
287,起,qǐ,"get up; start; rise"
288,起床,qǐchuáng,Get up
289,起来,qǐlái,get up
290,汽车,qì chē,car
291,前,qián,front
292,前边,qián biān,in front
293,前天,qián tiān,the day before yesterday
294,钱,qián,money
295,钱包,qián bāo,wallet
296,请,qǐng,please
297,请假,qǐngjià,ask for leave
298,请进,qǐng jìn,please come in
299,请问,qǐng wèn,excuse me
300,请坐,qǐng zuò,please have a seat
