No,Chinese,Pinyin,English
101,房间,fángjiān,Room
102,房子,fáng zi,"house; building"
103,放,fàng,discharge
104,放假,fàng jià,"holiday; have a holiday"
105,放学,fàng xué,off school
106,飞,fēi,fly
107,飞机,fēijī,aircraft
108,非常,fēicháng,very
109,分（名、量）,fēn,"minute; point; part; (measure word)"
110,风,fēng,wind
111,干,gān,dry
112,干净,gānjìng,clean
113,干,gàn,do
114,干什么,gàn shén me,"What to do"
115,高,gāo,high
116,高兴,gāoxìng,happy
117,告诉,gàosu,tell
118,哥哥｜哥,gē ge｜gē,"elder brother"
119,歌,gē,song
120,个,gè,individual
121,给,gěi,give
122,跟,gēn,with
123,工人,gōngrén,Worker
124,工作,gōngzuò,work
125,关（动）,guān,"shut; close; turn off"
126,关上,guān shàng,"close;shut to; turn off"
127,贵,guì,noble
128,国,guó,"country; state; nation"
129,国家,guójiā,Country
130,国外,guó wài,"foreign; oversea; abroad"
131,过,guò,pass
132,还,hái,"also; still; yet"
133,还是,háishi,still
134,还有,hái yǒu,"also; in addition; besides"
135,孩子,háizi,Children
136,汉语,hànyǔ,Chinese
137,汉字,hàn zì,Chinese character
138,好（形）,hǎo,good
139,好吃,hǎochī,Yummy
140,好看,hǎo kàn,good looking
141,好听,hǎo tīng,pleasant to hear
142,好玩儿,hǎo wánr,"fun; interesting"
143,号,hào,"Number/date"
144,喝,hē,drink
145,和,hé,and
146,很,hěn,very
147,后,hòu,"back; behind; after; later"
148,后边,hòu biān,"behind; back"
149,后天,hòu tiān,day after tomorrow
150,花（名）,huā,flower
151,话,huà,"word; words"
152,坏,huài,bad
153,还,huán,"return; pay back"
154,回（动）,huí,"go back; return"
155,回答,huídá,Answer
156,回到,huí dào,"back to"
157,回家,huí jiā,"go home; return home"
158,回来,huí lái,"come back; return"
159,回去,huí qù,"go back"
160,会（动）,huì,"can; be able to"
161,火车,huǒ chē,train
162,机场,jīchǎng,Airport
163,机票,jī piào,air ticket
164,鸡蛋,jīdàn,Egg
165,几,jǐ,several
166,记,jì,remember
167,记得,jìdé,remember
168,记住,jì zhù,"remember; keep in mind"
169,家,jiā,home
170,家里,jiā lǐ,"In the home"
171,家人,jiā rén,family
172,间,jiān,"between; measure word for rooms"
173,见,jiàn,"see; meet"
174,见面,jiànmiàn,meet
175,教,jiāo,teach
176,叫（动）,jiào,"call; be called"
177,教学楼,jiào xué lóu,teaching building
178,姐姐｜姐,jiě jie ｜ jiě,"elder sister"
179,介绍,jièshào,introduce
180,今年,jīn nián,"this year"
181,今天,jīntiān,Today
182,进,jìn,enter
183,进来,jìn lái,"come in"
184,进去,jìn qù,"go in"
185,九,jiǔ,Nine
186,就,jiù,"as soon as; right away; then"
187,觉得,juéde,Think
188,开,kāi,open
189,开车,kāi chē,"drive; drive a car"
190,开会,kāi huì,"have a meeting"
191,开玩笑,kāiwánxiào,"Make fun of"
192,看,kàn,see
193,看病,kàn bìng,"see a doctor"
194,看到,kàn dào,see
195,看见,kànjiàn,seeing
196,考,kǎo,"test; examine"
197,考试,kǎoshì,Examination
198,渴,kě,thirsty
199,课,kè,course
200,课本,kè běn,textbook
